Zipcode,Median income
12018,103716
12019,118641
12020,97984
12022,66806
12023,80962
12024,-
12025,84100
12027,116857
12028,74844
12029,106458
12031,62813
12032,62750
12033,93454
12035,67330
12036,77679
12037,76369
12040,-
12041,96625
12042,82083
12043,72823
12045,43929
12046,101184
12047,71232
12051,83000
12052,96875
12053,100509
12054,132218
12056,85625
12057,70455
12058,72625
12059,79063
12060,88667
12061,122438
12062,79063
12063,-
12064,34432
12065,112934
12066,83047
12067,101000
12068,67128
12069,-
12070,75625
12071,53438
12072,67821
12074,93036
12075,86932
12076,67083
12077,145364
12078,50274
12083,88365
12084,116800
12085,40966
12086,74464
12087,66667
12089,-
12090,73417
12092,59643
12093,66458
12094,94154
12095,70011
12106,104688
12108,77917
12110,93376
12115,-
12116,67167
12117,66370
12118,105437
12120,85278
12121,85000
12122,66786
12123,109886
12124,66774
12125,93125
12130,111923
12131,56250
12132,73250
12134,63857
12136,109012
12137,81300
12138,76875
12139,88571
12140,115921
12143,84194
12144,89117
12147,138929
12148,147614
12149,72000
12150,73603
12151,112500
12153,85903
12154,80568
12155,72500
12156,155978
12157,91500
12158,116015
12159,143359
12160,65000
12161,-
12164,85625
12165,127500
12166,60714
12167,67857
12168,82099
12169,114250
12170,102813
12172,47841
12173,69200
12174,106250
12175,76250
12176,79402
12177,113846
12180,72818
12182,70454
12183,62917
12184,86520
12185,96563
12186,122750
12187,59286
12188,96028
12189,70417
12190,47250
12192,86923
12193,71442
12194,48958
12195,40500
12196,102440
12197,56324
12198,99828
12202,28264
12203,99103
12204,67837
12205,91934
12206,44736
12207,-
12208,100076
12209,62393
12210,45280
12211,126267
12222,-
12302,95261
12303,87689
12304,66624
12305,68375
12306,80099
12307,50659
12308,60238
12309,126176
12401,69632
12404,81103
12405,73281
12406,67500
12407,53750
12409,119167
12410,38527
12411,-
12412,64702
12413,65335
12414,60290
12416,21676
12417,87788
12418,66336
12419,77750
12420,112537
12421,71146
12422,141667
12423,81635
12424,96250
12427,-
12428,50727
12429,145865
12430,58000
12431,68750
12432,-
12433,-
12434,70417
12435,61458
12436,-
12438,-
12439,34188
12440,98547
12441,34091
12442,63250
12443,105074
12444,75000
12446,73145
12448,125893
12449,65781
12450,51853
12451,53750
12452,63839
12453,-
12454,-
12455,76786
12456,77516
12457,61335
12458,72981
12459,90341
12460,35625
12461,97596
12463,81625
12464,74438
12465,46912
12466,85625
12468,70833
12469,49737
12470,63831
12471,-
12472,84583
12473,79375
12474,67614
12475,-
12477,82525
12480,100417
12481,54098
12482,32222
12483,-
12484,66990
12485,85663
12486,103472
12487,82134
12489,-
12490,-
12491,101429
12492,79750
12493,-
12494,156172
12495,88942
12496,75625
12498,95915
12501,77969
12502,77667
12503,81094
12504,168438
12507,145893
12508,89212
12512,62391
12513,65250
12514,147222
12515,130327
12516,129330
12517,-
12518,120833
12520,120313
12521,91250
12522,78125
12523,64365
12524,105530
12525,88000
12526,94500
12527,-
12528,93263
12529,90000
12530,-
12531,155605
12533,119732
12534,63290
12538,89754
12540,126809
12542,102237
12543,93203
12545,110096
12546,85469
12547,95147
12548,103333
12549,110095
12550,73950
12553,107500
12561,100240
12563,111719
12564,112391
12565,55815
12566,86932
12567,75859
12569,102750
12570,132361
12571,99321
12572,104213
12574,204500
12575,155221
12577,144009
12578,121222
12580,90290
12581,121607
12582,115741
12583,107000
12585,115221
12586,88364
12589,94181
12590,105250
12592,80000
12594,85842
12601,68036
12603,110408
12604,-
12701,48675
12719,74911
12720,65179
12721,100214
12722,-
12723,55167
12724,-
12725,92188
12726,80000
12729,57813
12732,56563
12733,-
12734,68558
12736,-
12737,94167
12738,112794
12740,73351
12741,97206
12742,25500
12743,62083
12745,-
12746,-
12747,80912
12748,84806
12749,56023
12750,118026
12751,41452
12752,43750
12754,54838
12758,70526
12759,30977
12760,87500
12762,55944
12763,71518
12764,64242
12765,86250
12766,-
12767,78125
12768,67500
12769,81638
12770,60625
12771,78221
12775,113125
12776,87153
12777,102768
12778,151848
12779,42392
12780,59450
12781,64931
12783,65313
12784,-
12785,90972
12786,-
12787,97969
12788,72174
12789,78750
12790,107900
12791,95353
12792,-
12801,67793
12803,75458
12804,91893
12808,95313
12809,57625
12810,59145
12811,56417
12812,74063
12814,95324
12815,76250
12816,75125
12817,91910
12819,87917
12821,-
12822,63602
12823,70329
12824,125536
12827,74025
12828,73134
12831,99847
12832,53880
12833,90332
12834,84018
12835,70398
12836,72639
12837,60357
12838,69286
12839,61505
12841,87083
12842,80139
12843,42404
12844,116058
12845,89943
12846,69712
12847,72426
12849,96303
12850,87434
12851,64375
12852,75417
12853,55813
12855,50000
12856,85125
12857,68750
12858,-
12859,74135
12860,96146
12861,71250
12862,-
12863,104286
12864,-
12865,70833
12866,109362
12870,59432
12871,86402
12872,-
12873,75500
12874,100250
12878,71667
12883,59735
12884,88542
12885,65809
12886,104286
12887,75842
12901,66370
12903,80313
12910,59327
12911,-
12912,65000
12913,90446
12914,58482
12916,64886
12917,67202
12918,79545
12919,57230
12920,66458
12921,80089
12922,86250
12923,80833
12924,-
12926,57115
12927,52000
12928,66944
12929,67625
12930,63750
12932,71406
12933,-
12934,50417
12935,69318
12936,70417
12937,47404
12939,59750
12941,85357
12942,88375
12943,49583
12944,65795
12945,77000
12946,65474
12950,60446
12952,81771
12953,60150
12955,99063
12956,63814
12957,47793
12958,60925
12959,60375
12960,72406
12961,35950
12962,77550
12964,-
12965,59583
12966,57232
12967,49643
12969,50714
12970,84375
12972,89257
12973,79688
12974,57284
12975,94250
12976,90833
12977,-
12978,-
12979,71875
12980,58365
12981,78824
12983,80167
12985,65500
12986,84087
12987,88092
12989,83750
12992,73750
12993,64737
12996,69139
12997,72750
12998,-
13020,65417
13021,72302
13024,-
13026,81719
13027,96618
13028,73421
13029,97426
13030,79091
13031,92356
13032,71855
13033,72031
13034,90357
13035,112969
13036,69363
13037,95709
13039,108246
13040,64861
13041,105183
13042,69881
13044,90469
13045,72119
13051,-
13052,63571
13053,89135
13054,68611
13057,77525
13060,83032
13061,85000
13062,-
13063,110078
13064,-
13066,122297
13068,78750
13069,57974
13071,68472
13072,60750
13073,74321
13074,62586
13076,71075
13077,71094
13078,108438
13080,68100
13081,96250
13082,87895
13083,79821
13084,83056
13087,160833
13088,80072
13090,90940
13092,71328
13101,61471
13102,-
13103,-
13104,133535
13108,96857
13110,101458
13111,44167
13112,72109
13113,95750
13114,76375
13115,108375
13116,77781
13117,55694
13118,72181
13120,84107
13122,85673
13123,-
13124,68750
13126,69905
13131,66141
13132,81824
13134,108250
13135,70883
13136,50313
13138,-
13140,65292
13141,65625
13142,60119
13143,65850
13144,49375
13145,58077
13146,59896
13147,66875
13148,71225
13152,113961
13153,-
13155,75313
13156,61736
13157,48750
13158,70489
13159,92895
13160,81726
13162,-
13163,72292
13164,104491
13165,68944
13166,77202
13167,76591
13202,22400
13203,46580
13204,34211
13205,41588
13206,54557
13207,56009
13208,44483
13209,65284
13210,54202
13211,57375
13212,72639
13214,95185
13215,110661
13219,85301
13224,95152
13290,-
13301,112604
13302,56667
13303,63068
13304,93864
13305,48710
13308,66847
13309,72500
13310,61157
13312,85469
13313,64286
13314,79464
13315,74643
13316,65027
13317,70625
13318,74423
13319,71328
13320,64803
13321,50694
13322,76563
13323,92703
13324,63828
13325,54766
13326,75203
13327,62383
13328,94489
13329,62532
13331,85865
13332,63542
13333,78750
13334,62132
13335,60417
13337,95455
13338,59861
13339,58981
13340,74293
13341,142768
13342,73750
13343,71012
13345,95893
13346,93333
13348,74432
13350,69653
13352,-
13353,41250
13354,100064
13355,76131
13357,69265
13360,72500
13361,76250
13362,61641
13363,81757
13364,67750
13365,68558
13367,70152
13368,46528
13402,71875
13403,104714
13404,43500
13406,81750
13407,63973
13408,76875
13409,63226
13410,56458
13411,59348
13413,96607
13415,-
13416,77298
13417,55294
13418,73000
13420,89233
13421,64631
13424,78636
13425,72500
13428,60795
13431,84063
13433,41324
13435,71625
13436,68750
13437,54028
13438,64375
13439,64637
13440,68468
13441,-
13450,-
13452,52464
13454,62386
13456,81719
13459,65536
13460,57670
13461,88750
13464,45809
13468,87875
13469,85000
13470,45625
13471,61845
13472,-
13473,70357
13475,-
13476,97180
13477,84167
13478,64878
13480,69700
13483,64583
13484,-
13485,56429
13486,66250
13488,46429
13489,61875
13490,72266
13491,64787
13492,84375
13493,58750
13494,77750
13495,60250
13501,48492
13502,58939
13601,59669
13602,50500
13603,51976
13605,74779
13606,81098
13607,83214
13608,60833
13612,71532
13613,57628
13614,-
13615,69688
13616,58417
13617,89961
13618,72721
13619,61993
13620,53519
13621,84167
13622,81087
13623,-
13624,77500
13625,77639
13626,63164
13628,73214
13630,59821
13633,80417
13634,74792
13635,57750
13636,48000
13637,56734
13638,40956
13639,-
13640,53438
13641,-
13642,49186
13643,-
13646,52321
13647,-
13648,55139
13650,63274
13651,141250
13652,60875
13654,59853
13655,53695
13656,55938
13658,66705
13659,59875
13660,60000
13661,75197
13662,58732
13664,74886
13665,67875
13666,51667
13667,40375
13668,75326
13669,61267
13670,54211
13672,95347
13673,56705
13674,-
13675,62885
13676,75577
13677,-
13678,80304
13679,63083
13680,52500
13681,53542
13682,72125
13684,60357
13685,88386
13687,87868
13690,49271
13691,66653
13692,44688
13693,49342
13694,80179
13695,104219
13696,-
13697,41563
13730,64464
13731,65208
13732,96016
13733,58707
13734,75000
13736,53984
13739,69375
13740,93125
13743,83173
13744,59643
13746,82000
13748,66045
13750,63041
13751,42135
13752,89519
13753,80714
13754,53698
13755,61833
13756,49375
13757,67396
13760,75404
13774,33984
13775,74567
13776,94250
13777,55703
13778,76920
13780,70833
13782,71563
13783,72560
13784,73611
13786,52500
13787,64706
13788,62361
13790,59265
13794,-
13795,67188
13796,72647
13797,61250
13801,44000
13802,72361
13803,67308
13804,56500
13806,-
13807,61987
13808,61250
13809,58914
13810,64514
13811,79253
13812,79464
13813,40799
13815,64107
13820,72500
13825,66200
13826,-
13827,75916
13830,68112
13832,57500
13833,65125
13834,-
13835,64583
13838,65761
13839,56719
13841,43594
13842,69583
13843,60385
13844,61250
13845,-
13846,55000
13847,142875
13849,61125
13850,89154
13856,53596
13859,69519
13860,-
13861,-
13862,75313
13863,46563
13864,90761
13865,74774
13901,64612
13902,-
13903,63638
13904,58558
13905,65293
14001,76131
14004,86720
14005,76719
14006,65742
14008,68354
14009,71635
14011,80000
14012,71477
14013,63125
14020,75083
14024,72368
14025,76530
14026,96193
14028,52500
14030,76282
14031,108210
14032,139044
14033,72868
14034,73000
14035,-
14036,87031
14037,57467
14039,65833
14040,77019
14041,89107
14042,57283
14043,71915
14047,83640
14048,50315
14051,133101
14052,106987
14054,75268
14055,73690
14057,93158
14058,70156
14059,97452
14060,65673
14061,48125
14062,68911
14063,76643
14065,58547
14066,63864
14067,80795
14068,128971
14069,60500
14070,62917
14072,99059
14075,93823
14080,88618
14081,57438
14082,62000
14085,101071
14086,105269
14091,56406
14092,89009
14094,80026
14098,58472
14101,56844
14102,90481
14103,61676
14105,76402
14108,70469
14109,-
14111,74659
14112,-
14113,61250
14120,85835
14125,71369
14126,84844
14127,116062
14129,73421
14130,58750
14131,80179
14132,93813
14134,89750
14135,-
14136,76224
14138,57083
14139,86786
14141,75466
14143,72750
14145,80547
14150,74286
14167,76875
14168,-
14169,31897
14170,82306
14171,68846
14172,80859
14173,-
14174,102692
14201,31313
14202,67589
14203,47031
14204,30745
14206,51875
14207,34756
14208,39970
14209,44836
14210,46894
14211,34063
14212,30024
14213,35435
14214,67603
14215,45772
14216,81485
14217,84402
14218,50377
14219,65296
14220,70523
14221,112737
14222,114474
14223,85615
14224,86824
14225,66310
14226,89933
14227,78182
