Borough,zipcode,City,highschool_graduation_rate,College Enrollment Rate,Median income,IsExceedingBoroughHighSchoolGraduationRate,IsExceedingBoroughCollegeEnrollmentRate,Latitude,Longitude
Manhattan,10029, MANHATTAN,100.0,97.0,39845,True,True,40.7936872,-73.9486109
Manhattan,10029, NEW YORK,70.0,33.0,39845,False,False,40.792935,-73.94716799999999
Manhattan,10035, MANHATTAN,66.0,47.0,36645,False,False,40.80706259999999,-73.9388293
Manhattan,10030, MANHATTAN,99.0,50.0,53586,True,False,40.8174596,-73.94714139999999
Manhattan,10027, MANHATTAN,45.0,46.0,58680,False,False,40.810687,-73.95606099999999
Manhattan,10027, MANHATTAN,77.0,49.0,58680,True,False,40.8156813,-73.95577449999999
Manhattan,10027, MANHATTAN,68.0,78.0,58680,False,True,40.8156813,-73.95577449999999
Manhattan,10039, MANHATTAN,84.0,78.0,44253,True,True,40.8243981,-73.936545
Manhattan,10030, MANHATTAN,99.0,95.0,53586,True,True,40.8152484,-73.9443203
Manhattan,10034, MANHATTAN,97.0,86.0,56284,True,True,40.8659143,-73.925157
Manhattan,10040, MANHATTAN,62.0,48.0,56530,False,False,40.8608344,-73.9300119
Manhattan,10032, MANHATTAN,78.0,58.0,58919,True,True,40.833638,-73.9422605
Manhattan,10034, MANHATTAN,55.0,40.0,56284,False,False,40.8659143,-73.925157
Manhattan,10040, MANHATTAN,61.0,33.0,56530,False,False,40.8564966,-73.92606219999999
Manhattan,10040, MANHATTAN,69.0,50.0,56530,False,False,40.8564966,-73.92606219999999
Manhattan,10040, MANHATTAN,59.0,35.0,56530,False,False,40.8564966,-73.92606219999999
Manhattan,10040, MANHATTAN,76.0,49.0,56530,True,False,40.8564966,-73.92606219999999
Manhattan,10031, MANHATTAN,56.0,45.0,54699,False,False,40.8183388,-73.9501311
Manhattan,10032, MANHATTAN,87.0,51.0,58919,True,True,40.83846,-73.9386364
Bronx,10455, BRONX,40.0,19.0,33920,False,False,40.8104034,-73.9073691
Bronx,10454, BRONX,63.0,46.0,30076,True,True,40.8101969,-73.91862189999999
Bronx,10451, BRONX,57.0,27.0,37332,False,False,40.815542,-73.9304433
Bronx,10455, BRONX,94.0,65.0,33920,True,True,40.8179909,-73.9116769
Bronx,10455, BRONX,88.0,64.0,33920,True,True,40.8179909,-73.9116769
Bronx,10455, BRONX,42.0,41.0,33920,False,False,40.8148083,-73.9120169
Bronx,10451, BRONX,65.0,55.0,37332,True,True,40.8184997,-73.9195405
Bronx,10451, BRONX,54.0,28.0,37332,False,False,40.8215543,-73.9231229
Bronx,10451, BRONX,74.0,45.0,37332,True,True,40.8215543,-73.9231229
Bronx,10451, BRONX,65.0,58.0,37332,True,True,40.8215543,-73.9231229
Bronx,10451, BRONX,64.0,19.0,37332,True,False,40.81366,-73.92599899999999
Bronx,10451, BRONX,56.0,47.0,37332,False,True,40.8184997,-73.9195405
Bronx,10451, BRONX,66.0,47.0,37332,True,True,40.815542,-73.9304433
Bronx,10459, BRONX,72.0,51.0,35536,True,True,40.8203827,-73.8930381
Bronx,10473, BRONX,73.0,54.0,51096,True,True,40.814901,-73.8560573
Bronx,10461, BRONX,70.0,30.0,68066,True,False,40.8398166,-73.83795490000001
Bronx,10473, BRONX,68.0,45.0,51096,True,True,40.8215141,-73.85541409999999
Bronx,10459, BRONX,46.0,28.0,35536,False,False,40.8178276,-73.8978152
Bronx,10473, BRONX,53.0,50.0,51096,False,True,40.814901,-73.8560573
Bronx,10473, BRONX,59.0,50.0,51096,False,True,40.8215141,-73.85541409999999
Bronx,10461, BRONX,52.0,37.0,68066,False,False,40.8398166,-73.83795490000001
Bronx,10473, BRONX,66.0,50.0,51096,True,True,40.8215141,-73.85541409999999
Bronx,10473, BRONX,57.0,32.0,51096,False,False,40.8215141,-73.85541409999999
Bronx,10473, BRONX,42.0,24.0,51096,False,False,40.8210968,-73.88112679999999
Bronx,10459, BRONX,40.0,22.0,35536,False,False,40.8178276,-73.8978152
Bronx,10457, BRONX,55.0,34.0,38096,False,False,40.8398672,-73.9111588
Bronx,10457, BRONX,71.0,51.0,38096,True,True,40.845289,-73.8972161
Bronx,10457, BRONX,76.0,69.0,38096,True,True,40.8394008,-73.9019661
Bronx,10456, BRONX,85.0,68.0,35269,True,True,40.8339721,-73.9027472
Bronx,10457, BRONX,69.0,69.0,38096,True,True,40.8394008,-73.9019661
Bronx,10456, BRONX,88.0,83.0,35269,True,True,40.8339721,-73.9027472
Bronx,10457, BRONX,58.0,49.0,38096,False,True,40.8394008,-73.9019661
Bronx,10457, BRONX,41.0,25.0,38096,False,False,40.8411563,-73.8983267
Bronx,10456, BRONX,59.0,39.0,35269,False,False,40.8273033,-73.9045097
Bronx,10456, BRONX,88.0,68.0,35269,True,True,40.8280778,-73.91751959999999
Bronx,10457, BRONX,44.0,24.0,38096,False,False,40.8398672,-73.9111588
Bronx,10453, BRONX,91.0,60.0,33760,True,True,40.8494924,-73.9156962
Bronx,10456, BRONX,68.0,33.0,35269,True,False,40.8273033,-73.9045097
Bronx,10456, BRONX,50.0,40.0,35269,False,False,40.8273033,-73.9045097
Bronx,10457, BRONX,45.0,23.0,38096,False,False,40.8398672,-73.9111588
