DBN,School Name,Borough,zipcode,Primary_Address_Line_1,City,State_Code,highschool_graduation_rate,Borough_Highschool_graduation_rate,College Enrollment Rate,Borough College Enrollment Rate,has_data,Median income,IsExceedingBoroughHighSchoolGraduationRate,IsExceedingBoroughCollegeEnrollmentRate,Latitude,Longitude,Address
02M414,N.Y.C. Museum School,Manhattan,10011,333 WEST 17 STREET, MANHATTAN,NY,97.0,70,81.0,53,True,249545,True,True,40.74250989999999,-74.0022418,"333 WEST 17 STREET,  MANHATTAN, NY"
02M416,Eleanor Roosevelt High School,Manhattan,10021,411 EAST 76 STREET, MANHATTAN,NY,100.0,70,89.0,53,True,240453,True,True,40.7702849,-73.9532948,"411 EAST 76 STREET,  MANHATTAN, NY"
02M418,Millennium High School,Manhattan,10004,75 BROAD STREET, MANHATTAN,NY,99.0,70,88.0,53,True,205202,True,True,40.70473,-74.0114523,"75 BROAD STREET,  MANHATTAN, NY"
02M419,Landmark High School,Manhattan,10011,351 WEST 18 STREET, MANHATTAN,NY,66.0,70,35.0,53,True,249545,False,False,40.7432281,-74.002426,"351 WEST 18 STREET,  MANHATTAN, NY"
02M420,High School for Health Professions and Human Services,Manhattan,10003,345 EAST 15TH STREET, MANHATTAN,NY,90.0,70,76.0,53,True,183787,True,True,40.732689,-73.98258969999999,"345 EAST 15TH STREET,  MANHATTAN, NY"
02M425,Leadership and Public Service High School,Manhattan,10006,90 TRINITY PLACE, MANHATTAN,NY,64.0,70,41.0,53,True,245764,False,False,40.708961,-74.01243099999999,"90 TRINITY PLACE,  MANHATTAN, NY"
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Manhattan,10016,111 EAST 33RD STREET, MANHATTAN,NY,49.0,70,50.0,53,True,206816,False,False,40.7463061,-73.9811402,"111 EAST 33RD STREET,  MANHATTAN, NY"
02M437,Hudson High School of Learning Technologies,Manhattan,10011,351 WEST 18 STREET, MANHATTAN,NY,91.0,70,50.0,53,True,249545,True,False,40.7432281,-74.002426,"351 WEST 18 STREET,  MANHATTAN, NY"
02M438,International High School at Union Square,Manhattan,10003,40 IRVING PLACE, MANHATTAN,NY,36.0,70,50.0,53,True,183787,False,False,40.73518079999999,-73.9870892,"40 IRVING PLACE,  MANHATTAN, NY"
02M439,Manhattan Village Academy,Manhattan,10010,43 WEST 22 STREET, MANHATTAN,NY,99.0,70,85.0,53,True,229709,True,True,40.7419328,-73.9922313,"43 WEST 22 STREET,  MANHATTAN, NY"
02M475,Stuyvesant High School,Manhattan,10282,345 CHAMBERS STREET, MANHATTAN,NY,99.0,70,97.0,53,True,250001,True,True,40.7181492,-74.0137623,"345 CHAMBERS STREET,  MANHATTAN, NY"
02M489,High School of Economics and Finance,Manhattan,10006,100 TRINITY PLACE, MANHATTAN,NY,82.0,70,70.0,53,True,245764,True,True,40.70925709999999,-74.0123392,"100 TRINITY PLACE,  MANHATTAN, NY"
02M500,Unity Center for Urban Technologies,Manhattan,10016,111 EAST 33RD STREET, MANHATTAN,NY,68.0,70,28.0,53,True,206816,False,False,40.7463061,-73.9811402,"111 EAST 33RD STREET,  MANHATTAN, NY"
02M520,Murry Bergtraum High School for Business Careers,Manhattan,10038,411 PEARL STREET, MANHATTAN,NY,51.0,70,36.0,53,True,93156,False,False,40.7110316,-74.0013216,"411 PEARL STREET,  MANHATTAN, NY"
02M529,Jacqueline Kennedy Onassis High School,Manhattan,10036,120 WEST 46 STREET, MANHATTAN,NY,61.0,70,45.0,53,True,112342,False,False,40.7576045,-73.9835118,"120 WEST 46 STREET,  MANHATTAN, NY"
02M531,Repertory Company High School for Theatre Arts,Manhattan,10036,123 WEST 43 STREET, MANHATTAN,NY,98.0,70,71.0,53,True,112342,True,True,40.7561203,-73.98445579999999,"123 WEST 43 STREET,  MANHATTAN, NY"
02M542,Manhattan Bridges High School,Manhattan,10019,525 WEST 50TH STREET, MANHATTAN,NY,85.0,70,58.0,53,True,176972,True,True,40.76563840000001,-73.9931036,"525 WEST 50TH STREET,  MANHATTAN, NY"
02M543,New Design High School,Manhattan,10002,350 GRAND STREET, MANHATTAN,NY,82.0,70,47.0,53,True,40045,True,False,40.7173452,-73.9892929,"350 GRAND STREET,  MANHATTAN, NY"
02M545,High School for Dual Language and Asian Studies,Manhattan,10002,350 GRAND STREET, MANHATTAN,NY,96.0,70,83.0,53,True,40045,True,True,40.7173452,-73.9892929,"350 GRAND STREET,  MANHATTAN, NY"
02M551,Urban Assembly New York Harbor School,Manhattan,10004,"10 SOUTH STREET,  SLIP 7", MANHATTAN,NY,76.0,70,51.0,53,True,205202,True,False,40.7012306,-74.0117968,"10 SOUTH STREET,  SLIP 7,  MANHATTAN, NY"
02M580,Richard R. Green High School of Teaching,Manhattan,10004,26 BROADWAY, MANHATTAN,NY,71.0,70,59.0,53,True,205202,True,True,40.7055092,-74.0131178,"26 BROADWAY,  MANHATTAN, NY"
02M600,The High School of Fashion Industries,Manhattan,10011,225 WEST 24 STREET, MANHATTAN,NY,92.0,70,68.0,53,True,249545,True,True,40.7456692,-73.99650369999999,"225 WEST 24 STREET,  MANHATTAN, NY"
02M615,Chelsea Career and Technical Education High School,Manhattan,10013,131 AVENUE OF THE AMERICAS, MANHATTAN,NY,85.0,70,56.0,53,True,163951,True,True,40.7246823,-74.0050859,"131 AVENUE OF THE AMERICAS,  MANHATTAN, NY"
02M630,Art and Design High School,Manhattan,10019,231-249 EAST 56 STREET, MANHATTAN,NY,81.0,70,62.0,53,True,176972,True,True,40.759213,-73.966183,"231-249 EAST 56 STREET,  MANHATTAN, NY"
02M655,Life Sciences Secondary School,Manhattan,10128,320 EAST 96 STREET, MANHATTAN,NY,76.0,70,43.0,53,True,192940,True,False,40.7832167,-73.9460393,"320 EAST 96 STREET,  MANHATTAN, NY"
03M299,"High School for Arts, Imagination and Inquiry",Manhattan,10023,122 AMSTERDAM AVENUE, MANHATTAN,NY,72.0,70,44.0,53,True,228389,True,False,40.7748463,-73.9856659,"122 AMSTERDAM AVENUE,  MANHATTAN, NY"
03M307,"Urban Assembly School for Media Studies, The",Manhattan,10023,122 AMSTERDAM AVENUE, MANHATTAN,NY,67.0,70,41.0,53,True,228389,False,False,40.7748463,-73.9856659,"122 AMSTERDAM AVENUE,  MANHATTAN, NY"
03M402,The Urban Assembly School for Green Careers,Manhattan,10024,145 WEST 84 STREET, MANHATTAN,NY,49.0,70,29.0,53,True,246034,False,False,40.7860105,-73.9740956,"145 WEST 84 STREET,  MANHATTAN, NY"
03M403,The Global Learning Collaborative,Manhattan,10024,145 WEST 84 STREET, MANHATTAN,NY,75.0,70,40.0,53,True,246034,True,False,40.7860105,-73.9740956,"145 WEST 84 STREET,  MANHATTAN, NY"
03M415,Wadleigh Secondary School for the Performing & Visual Arts,Manhattan,10026,215 WEST 114 STREET, MANHATTAN,NY,50.0,70,23.0,53,True,66157,False,False,40.8025744,-73.95414029999999,"215 WEST 114 STREET,  MANHATTAN, NY"
03M417,FRANK McCOURT HIGH SCHOOL,Manhattan,10024,145 WEST 84 STREET, MANHATTAN,NY,95.0,70,50.0,53,True,246034,True,False,40.7860105,-73.9740956,"145 WEST 84 STREET,  MANHATTAN, NY"
03M479,Beacon High School,Manhattan,10023,227-243 WEST 61ST STREET, MANHATTAN,NY,99.0,70,84.0,53,True,228389,True,True,40.7726113,-73.988348,"227-243 WEST 61ST STREET,  MANHATTAN, NY"
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Manhattan,10023,100 AMSTERDAM AVENUE, MANHATTAN,NY,99.0,70,80.0,53,True,228389,True,True,40.7741328,-73.9858036,"100 AMSTERDAM AVENUE,  MANHATTAN, NY"
