iter	Passed	Remaining
423	1740	2364
424	1744	2360
425	1746	2353
426	1747	2344
427	1749	2338
428	1754	2334
429	1758	2330
430	1761	2324
431	1765	2321
432	1766	2313
433	1768	2306
434	1770	2299
435	1772	2292
436	1774	2286
437	1776	2279
438	1779	2274
439	1781	2266
440	1784	2261
441	1785	2254
442	1789	2250
443	1793	2245
444	1798	2242
445	1803	2239
446	1808	2236
447	1810	2231
448	1812	2223
449	1814	2217
450	1815	2210
451	1819	2205
452	1823	2201
453	1825	2195
454	1830	2192
455	1832	2185
456	1834	2179
457	1838	2175
458	1842	2171
459	1847	2168
460	1849	2161
461	1853	2158
462	1856	2152
463	1857	2146
464	1860	2140
465	1862	2134
466	1865	2129
467	1867	2122
468	1869	2116
469	1874	2114
470	1878	2109
471	1882	2105
472	1884	2099
473	1885	2092
474	1889	2088
475	1893	2084
476	1898	2081
477	1905	2080
478	1910	2078
479	1915	2075
480	1919	2071
481	1924	2067
482	1928	2064
483	1929	2057
484	1933	2053
485	1938	2049
486	1942	2045
487	1945	2041
488	1949	2037
489	1953	2032
490	1954	2025
491	1957	2020
492	1959	2014
493	1960	2008
494	1961	2001
495	1962	1994
496	1963	1987
497	1964	1980
498	1966	1973
499	1967	1967
500	1968	1960
501	1969	1953
502	1970	1946
503	1971	1940
504	1972	1933
505	1973	1926
506	1974	1920
507	1975	1913
508	1976	1906
509	1977	1899
510	1978	1893
511	1979	1886
512	1980	1880
513	1981	1873
514	1982	1867
515	1983	1860
516	1984	1854
517	1985	1847
518	1986	1841
519	1987	1834
520	1988	1828
521	1989	1821
522	1990	1815
523	1991	1809
524	1992	1802
525	1993	1796
526	1995	1791
527	1997	1785
528	1998	1779
529	2001	1774
530	2002	1768
531	2004	1763
532	2008	1759
533	2011	1755
534	2014	1751
535	2016	1745
536	2020	1741
537	2022	1736
538	2023	1730
539	2025	1725
540	2030	1722
541	2031	1716
542	2033	1711
543	2036	1706
544	2037	1701
545	2040	1696
546	2044	1692
547	2046	1687
548	2049	1683
549	2052	1679
550	2057	1676
551	2058	1670
552	2062	1667
553	2064	1662
554	2068	1658
555	2070	1653
556	2074	1649
557	2076	1645
558	2079	1640
559	2081	1635
560	2083	1630
561	2087	1626
562	2089	1621
563	2091	1616
564	2092	1611
565	2095	1606
566	2096	1601
567	2098	1596
568	2101	1591
569	2105	1588
570	2106	1582
571	2111	1579
572	2113	1574
573	2115	1570
574	2117	1564
575	2119	1560
576	2121	1555
577	2124	1550
578	2128	1547
579	2131	1543
580	2133	1538
581	2135	1533
582	2137	1529
583	2138	1523
584	2140	1518
585	2141	1512
586	2142	1507
587	2143	1502
588	2146	1497
589	2148	1493
590	2151	1488
591	2155	1485
592	2158	1481
593	2160	1476
594	2162	1471
595	2165	1467
596	2168	1463
597	2171	1459
598	2174	1455
599	2176	1451
600	2178	1446
601	2179	1441
602	2182	1437
603	2184	1432
604	2186	1427
605	2187	1422
606	2190	1418
607	2191	1412
608	2193	1408
609	2196	1404
610	2200	1400
611	2202	1396
612	2204	1391
613	2207	1387
614	2209	1383
615	2210	1378
616	2213	1373
617	2216	1370
618	2217	1364
619	2220	1360
620	2223	1356
621	2224	1351
622	2225	1346
623	2227	1342
624	2230	1338
625	2232	1333
626	2234	1329
627	2235	1324
628	2238	1320
629	2241	1316
630	2243	1311
631	2244	1306
632	2246	1302
633	2247	1297
634	2248	1292
635	2249	1287
636	2250	1282
637	2251	1277
638	2252	1272
639	2253	1267
640	2254	1262
641	2257	1258
642	2262	1255
643	2267	1253
644	2270	1249
645	2275	1246
646	2281	1244
647	2286	1241
648	2290	1238
649	2294	1235
650	2297	1231
651	2300	1228
652	2303	1224
653	2306	1220
654	2308	1215
655	2310	1211
656	2312	1207
657	2316	1203
658	2318	1199
659	2320	1195
660	2324	1191
661	2326	1187
662	2329	1184
663	2331	1179
664	2332	1174
665	2334	1170
666	2334	1165
667	2339	1162
668	2340	1158
669	2341	1153
670	2343	1149
671	2346	1145
672	2349	1141
673	2353	1138
674	2356	1134
675	2357	1130
676	2360	1126
677	2362	1122
678	2363	1117
679	2366	1113
680	2368	1109
681	2370	1105
682	2373	1101
683	2374	1096
684	2376	1092
685	2378	1088
686	2381	1085
687	2386	1082
688	2388	1077
689	2389	1073
690	2391	1069
691	2394	1065
692	2395	1061
693	2398	1057
694	2402	1054
695	2403	1049
696	2404	1045
697	2405	1040
698	2406	1036
699	2407	1031
700	2408	1027
701	2410	10270702	2411	101708	2442	1002
709	2447	999
710	2450	995
711	2451	991
712	2453	987
713	2455	983
714	2459	980
715	2464	977
716	2469	974
717	2474	971
718	2479	969
719	2484	966
720	2486	962
721	2491	959
722	2495	955
723	2497	951
724	2500	948
725	2502	944
726	2504	940
727	2507	937
728	2510	933
729	2514	929
730	2518	926
731	2519	922
732	2524	919
733	2526	915
734	2529	911
735	2530	907
736	2533	903
737	2536	900
738	2542	898
739	2547	895
740	2551	891
741	2555	888
742	2559	885
743	2563	882
744	2565	878
745	2567	874
746	2570	870
747	2575	867
748	2580	864
749	2583	861
750	2585	857
751	2587	853
752	2589	849
753	2592	845
754	2596	842
755	2599	839
756	2603	835
757	2607	832
758	2609	828
759	2611	824
760	2613	820
761	2615	817
762	2618	813
763	2622	809
764	2625	806
765	2626	802
766	2629	798
767	2631	794
768	2633	791
769	2637	787
770	2640	784
771	2642	780
772	2643	776
773	2646	772
774	2648	768
775	2651	765
776	2654	761
777	2656	758
778	2658	754
779	2659	750
780	2660	746
781	2663	742
782	2665	738
783	2668	735
784	2671	731
785	2673	728
786	2678	724
787	2681	721
788	2685	718
789	2687	714
790	2691	711
791	2695	707
792	2701	705
793	2707	702
794	2712	699
795	2715	695
796	2718	692
797	2722	689
798	2723	685
799	2724	681
800	2725	677
801	2726	673
802	2727	669
803	2728	665
804	2729	661
805	2731	657
806	2732	653
807	2733	649
808	2734	645
809	2735	641
810	2736	637
811	2737	633
812	2738	629
813	2739	625
814	2742	622
815	2745	619
816	2748	615
817	2750	612
818	2752	608
819	2753	604
820	2754	600
821	2755	596
822	2756	592
823	2757	589
824	2759	585
825	2760	581
826	2761	577
827	2762	573
828	2763	569
829	2764	566
830	2765	562
831	2766	558
832	2768	554
833	2769	551
834	2770	547
835	2771	543
836	2772	539
837	2773	536
838	2774	532
839	2776	528
840	2777	525
841	2778	521
842	2779	517
843	2780	514
844	2781	510
845	2782	506
846	2784	503
847	2787	499
848	2790	496
849	2793	493
850	2795	489
851	2798	486
852	2801	482
853	2802	479
854	2806	475
855	2807	472
856	2810	468
857	2811	465
858	2814	462
859	2816	458
860	2818	455
861	2822	451
862	2825	448
863	2827	445
864	2830	441
865	2834	438
866	2835	434
867	2838	431
868	2840	428
869	2843	424
870	2846	421
871	2848	418
872	2850	414
873	2854	411
874	2856	408
875	2861	404
876	2863	401
877	2865	398
878	2868	394
879	2871	391
880	2875	388
881	2878	385
882	2879	381
883	2881	378
884	2883	374
885	2886	371
886	2888	368
887	2889	364
888	2891	361
889	2892	357
890	2894	354
891	2897	350
892	2900	347
893	2904	344
894	2906	341
895	2909	337
896	2911	334
897	2913	330
898	2918	327
899	2922	324
900	2925	321
901	2928	318
902	2930	314
903	2933	311
904	2934	308
905	2937	304
906	2939	301
907	2941	298
908	2942	294
909	2943	291
910	2944	287
911	2945	284
912	2946	280
913	2947	277
914	2949	273
915	2950	270
916	2951	267
917	2953	263
918	2957	260
919	2959	257
920	2961	254
921	2964	250
922	2965	247
923	2966	244
924	2969	240
925	2971	237
926	2974	234
927	2977	230
928	2980	227
929	2983	224
930	2987	221
931	2990	218
932	2993	214
933	2996	211
934	2999	208
935	3004	205
936	3006	202
937	3008	198
938	3011	195
939	3015	192
940	3018	189
941	3023	186
942	3025	182
943	3027	179
944	3031	176
945	3033	173
946	3035	169
947	3037	166
948	3040	163
949	3043	160
950	3047	157
951	3051	153
952	3052	150
953	3054	147
954	3057	144
955	3060	140
956	3062	137
957	3066	134
958	3068	131
959	3069	127
960	3073	124
961	3075	121
962	3078	118
963	3081	115
964	3082	111
965	3084	108
966	3086	105
967	3088	102
968	3089	98
969	3090	95
970	3092	92
971	3094	89
972	3095	85
973	3096	82
974	3097	79
975	3098	76
976	3099	72
977	3100	69
978	3101	66
979	3102	63
980	3103	60
981	3104	56
982	3105	53
983	3106	50
984	3107	47
985	3108	44
986	3109	40
987	3110	37
988	3111	34
989	3112	31
990	3113	28
991	3114	25
992	3115	21
993	3116	18
994	3117	15
995	3118	12
996	3119	9
997	3120	6
998	3121	3
999	3122	0

994	3041	15
995	3043	12
996	3045	9
997	3047	6
998	3049	3
999	3051	0
40	356
967	10443	345
968	10447	334
969	10450	323
970	10453	312
971	10455	301
972	10457	290
973	10458	279
974	10460	268
975	10462	257
976	10463	246
977	10465	235
978	10466	224
979	10467	213
980	10469	202
981	10470	191
982	10471	181
983	10472	170
984	10473	159
985	10486	148
986	10491	138
987	10498	127
988	10507	116
989	10513	106
990	10519	95
991	10533	84
992	10542	74
993	10547	63
994	10561	53
995	10570	42
996	10574	31
997	10579	21
998	10584	10
999	10587	0
98	10359	10
999	10361	0
7	10418	20
998	10437	10
999	10443	0
