iter	RMSE
151	0.3477947748
152	0.3474525779
153	0.3468814038
154	0.3463824345
155	0.3461042761
156	0.3454208603
157	0.3450333542
158	0.3445397036
159	0.3438951594
160	0.3432177554
161	0.3427406994
162	0.3420127854
163	0.3410949187
164	0.3408337108
165	0.3404141839
166	0.3397998811
167	0.33930484
168	0.3389704804
169	0.3382508693
170	0.3376106698
171	0.3370437733
172	0.336742383
173	0.3363847154
174	0.3355981156
175	0.3352470219
176	0.3342905384
177	0.3335536235
178	0.3329714575
179	0.3323788785
180	0.3317810877
181	0.3312405705
182	0.3307303052
183	0.3304227682
184	0.3298478973
185	0.3292679251
186	0.3286005396
187	0.3282844693
188	0.3279190201
189	0.327547676
190	0.3273503499
191	0.326792085
192	0.3260902593
193	0.325707068
194	0.325495534
195	0.3251537314
196	0.324976555
197	0.3246655535
198	0.3243201784
199	0.3234240981
200	0.3232454875
201	0.3229892524
202	0.3225906811
203	0.3221700726
204	0.3212624862
205	0.3207905183
206	0.3206206174
207	0.3203472437
208	0.3196528262
209	0.3193761765
210	0.3190498244
211	0.3184595201
212	0.3182498938
213	0.3180493555
214	0.3178427326
215	0.3176534934
216	0.3172236855
217	0.3169348851
218	0.3165070147
219	0.3161080321
220	0.3158379593
221	0.3157720038
222	0.3155821201
223	0.3150709055
224	0.3146684436
225	0.3144498583
226	0.3141716283
227	0.3140791812
228	0.3138503656
229	0.3136162664
230	0.313378955
231	0.3131458106
232	0.3129527441
233	0.3127825885
234	0.3124948256
235	0.3123831701
236	0.3121177339
237	0.3113754074
238	0.3107422039
239	0.3104917534
240	0.3103323542
241	0.3098222865
242	0.3094880729
243	0.3091516866
244	0.3089850923
245	0.3088842638
246	0.3087941588
247	0.3086906569
248	0.3081885206
249	0.3075266334
250	0.3073279659
251	0.3072151078
252	0.3069873836
253	0.3063905584
254	0.3061169313
255	0.3060428138
256	0.3056060737
257	0.3054825215
258	0.305215924
259	0.3045763088
260	0.3044204201
261	0.3041547566
262	0.3040657021
263	0.3039778681
264	0.3038123379
265	0.3035761501
266	0.3034500967
267	0.3032250582
268	0.3031268957
269	0.3030387907
270	0.3027894197
271	0.302461205
272	0.3023598852
273	0.3017473418
274	0.3016437018
275	0.3015464529
276	0.3014662811
277	0.3013780098
278	0.301266474
279	0.3011871215
280	0.301093001
281	0.3009205326
282	0.3008362617
283	0.3007336156
284	0.3006666856
285	0.3005924625
286	0.3004174708
287	0.2999700557
288	0.2998649894
289	0.2997762663
290	0.2997080334
291	0.2996391806
292	0.2992072819
293	0.2989691185
294	0.298494027
295	0.2980458506
296	0.297978961
297	0.2975925878
298	0.2971283188
299	0.2968579463
300	0.2967876587
301	0.2967213782
302	0.2964856561
303	0.2963338378
304	0.2958343576
305	0.2957570659
306	0.2953116985
307	0.2946998693
308	0.2943486644
309	0.2937191469
310	0.293634563
311	0.2935250231
312	0.2934790605
313	0.29339896
314	0.2926505698
315	0.2925932592
316	0.2924003772
317	0.2914496047
318	0.2908571707
319	0.2907946859
320	0.2905367469
321	0.2904841314
322	0.2896512343
323	0.2892217186
324	0.2888219433
325	0.2883793672
326	0.2880135022
327	0.2879596736
328	0.2874634493
329	0.287087595
330	0.2868807192
331	0.2867276458
332	0.286665626
333	0.2866018238
334	0.2862284875
335	0.2857012439
336	0.2854265848
337	0.2848768864
338	0.2838253851
339	0.2832390264
340	0.2831776229
341	0.2826341876
342	0.2821446871
343	0.2820961535
344	0.2820383858
345	0.2816550876
346	0.2816083225
347	0.2815550335
348	0.2812994492
349	0.2812580937
350	0.2808676679
351	0.2800786387
352	0.279513797
353	0.2791860675
354	0.2791366622
355	0.278138782
356	0.2779218829
357	0.2774742307
358	0.2774023363
359	0.2773532085
360	0.2766348888
361	0.2762197202
362	0.2761754847
363	0.2758559263
364	0.2758003143
365	0.2754430637
366	0.2753996987
367	0.2751401797
368	0.2743182889
369	0.2738181517
370	0.2734028237
371	0.2733595821
372	0.2730219349
373	0.2729647729
374	0.2727341738
375	0.2723323488
376	0.271695162
377	0.2711464316
378	0.2709490142
379	0.2704965541
380	0.2704414933
381	0.2704038492
382	0.2703611296
383	0.2703238853
384	0.2697428815
385	0.2697011447
386	0.2691927934
387	0.2686763595
388	0.2686240736
389	0.2685730547
390	0.2680306225
391	0.2678736472
392	0.2674999643
393	0.2671625455
394	0.2665897252
395	0.2665504746
396	0.2661334619
397	0.265585488
398	0.2651555485
399	0.2650988491
400	0.2650711224
401	0.2645519762
402	0.2643244486
403	0.2639304577
404	0.2633808977
405	0.2629235897
406	0.2628804176
407	0.2624376992
408	0.2620639148
409	0.261550744
410	0.2610804043
411	0.2606607998
412	0.260517875
413	0.2600513461
414	0.2595446476
415	0.2588941066
416	0.2583623812
417	0.2577251053
418	0.25722461
419	0.2568538822
420	0.2564929721
421	0.2558131224
422	0.254971899
423	0.2546059297
424	0.2543771358
425	0.2543309062
426	0.2542927866
427	0.2537531326
428	0.2537231977
429	0.2536720229
430	0.2534821027
431	0.2528402388
432	0.2522540794
433	0.2518345137
434	0.2511365871
435	0.2510924049
436	0.2504426487
437	0.2499271251
438	0.2496384354
439	0.249352278
440	0.2493004032
441	0.249080368
442	0.2490512269
443	0.2489176864
444	0.2484422298
445	0.2478842315
446	0.2478560458
447	0.2475976068
448	0.2473007633
449	0.2469076538
450	0.2465544249
451	0.2461989828
452	0.2458252819
453	0.245472138
454	0.2451527281
455	0.2447048445
456	0.2442718361
457	0.2441462546
458	0.2441184936
459	0.2440701763
460	0.2435367598
461	0.2429832701
462	0.2429421636
463	0.242778833
464	0.2427292575
465	0.242448834
466	0.2422062839
467	0.2415061812
468	0.2411698756
469	0.2408664279
470	0.2405969437
471	0.2401138682
472	0.2400405859
473	0.2397658048
474	0.2392160193
475	0.2388200909
476	0.2382262058
477	0.2380058064
478	0.2377451162
479	0.23747018
480	0.2371752558
481	0.2371405998
482	0.2366104892
483	0.2365818586
484	0.2363163746
485	0.2359567452
486	0.235849401
487	0.2355070337
488	0.2351757681
489	0.2348942461
490	0.2345329217
491	0.233956555
492	0.2335124854
493	0.233471174
494	0.2332604706
495	0.2332351181
496	0.2328759763
497	0.2324026761
498	0.2319730479
499	0.2317684617
500	0.2314809939
501	0.2308274296
502	0.2304622575
503	0.2301721225
504	0.2301008573
505	0.2296678463
506	0.2294195471
507	0.2291777049
508	0.2286724794
509	0.228432562
510	0.2281327898
511	0.2279838612
512	0.2279500935
513	0.2277575745
514	0.2270829021
515	0.2269128806
516	0.2267462952
517	0.226610238
518	0.2262872993
519	0.2259910791
520	0.2257658124
521	0.225631964
522	0.2256082606
523	0.22533969
524	0.2250131035
525	0.2247163057
526	0.224066308
527	0.2236410394
528	0.2232697133
529	0.2229380247
530	0.2227698457
531	0.2225042096
532	0.2224810516
533	0.2219522619
534	0.2214257898
535	0.2213946012
536	0.2211993736
537	0.2210097598
538	0.2205600102
539	0.2203933451
540	0.2200294402
541	0.2200022836
542	0.2195255131
543	0.2192012541
544	0.2191204037
545	0.218829542
546	0.2184474007
547	0.218304531
548	0.2179934116
549	0.2179639616
550	0.2176954011
551	0.2174992951
552	0.2169959305
553	0.2163952268
554	0.2161963662
555	0.2156906588
556	0.2154460409
557	0.2149553425
558	0.2144732771
559	0.2144392938
560	0.2144103954
561	0.2142104245
562	0.2139104246
563	0.2135772078
564	0.2134071688
565	0.2133774951
566	0.2131687524
567	0.2127014775
568	0.2124640821
569	0.2122778024
570	0.2120198499
571	0.2117999929
572	0.2117790329
573	0.2116296087
574	0.211382823
575	0.2111455461
576	0.2108290202
577	0.2108041111
578	0.2104918042
579	0.2103040126
580	0.2098144588
581	0.2095151203
582	0.2091388988
583	0.2089614183
584	0.208647101
585	0.2084481266
586	0.2084237856
587	0.2082338603
588	0.2080282072
589	0.2077814608
590	0.2073489588
591	0.2067689471
592	0.2065147789
593	0.2063401842
594	0.2061667014
595	0.2058650131
596	0.205594412
597	0.2055709842
598	0.2053732409
599	0.2050265576
600	0.2046666228
601	0.2042418718
602	0.2041019155
603	0.2039003237
604	0.2037774065
605	0.2035834995
606	0.203173341
607	0.2029687376
608	0.2028457042
609	0.20256055
610	0.2022428659
611	0.2018542863
612	0.2015849332
613	0.2014661054
614	0.2014462923
615	0.2014199178
616	0.201223066
617	0.2010727901
618	0.2010535239
619	0.2007317376
620	0.2005708163
621	0.2003512567
622	0.2002138987
623	0.1999872664
624	0.1999686107
625	0.1995323906
626	0.1993026823
627	0.1992843605
628	0.1988980838
629	0.1987447977
630	0.1985877327
631	0.198473633
632	0.1979163483
633	0.1977252276
634	0.1975622001
635	0.1973885919
636	0.1971590765
637	0.1968875171
638	0.1963521559
639	0.1962147537
640	0.1959584737
641	0.1957458147
642	0.1957218989
643	0.1955941844
644	0.1950697926
645	0.1946700276
646	0.1944042711
647	0.1942616688
648	0.1940557573
649	0.1938001102
650	0.1933063087
651	0.1930086092
652	0.1927438266
653	0.19258505
654	0.1924436743
655	0.1921245026
656	0.1917361222
657	0.1917175398
658	0.1913218892
659	0.1910881479
660	0.1907619935
661	0.1905614742
662	0.1903278281
663	0.190242776
664	0.1900057904
665	0.1898221227
666	0.1894421691
667	0.1891712311
668	0.188705766
669	0.1885270602
670	0.1882761427
671	0.1880694522
672	0.1877617667
673	0.1873889488
674	0.1873678981
675	0.1870966176
676	0.1869297379
677	0.1867390046
678	0.1865700441
679	0.1863893406
680	0.1861528994
681	0.1858266978
682	0.1856903556
683	0.1855016663
684	0.1852667951
685	0.1850691672
686	0.1848467459
687	0.1846497451
688	0.1846300047
689	0.1844280884
690	0.184274501
691	0.1841489062
692	0.1839982569
693	0.183758225
694	0.1835148274
695	0.1833129161
696	0.1828901249
697	0.1828266051
698	0.1826126399
699	0.1823545357
700	0.1820766109
701	0.1817562367
702	0.1813443617
703	0.1812411258
704	0.1812230431
705	0.1810244836
706	0.1809160192
707	0.1806460722
708	0.1806283701
709	0.1802382719
710710	0.1662711711	0.1796375425
712	0.1794835199
713	0.1793908697
714	0.1789378058
715	0.1788113416
716	0.1784629927
717	0.1782702121
718	0.1780823149
719	0.1777790523
720	0.1776325841
721	0.1774704626
722	0.1771748109
723	0.1768646173
724	0.1766859715
725	0.1763474357
726	0.176069209
727	727	0.16243353
728	0.1620867815
729	0.1618344397
730	0.1616261686
731	0.1614765996
732	0.1613172393
733	0.1610562641
734	0.1608789435
735	0.1606886263
736	0.1604348526
737	0.1602644221
738	0.159904942
739	0.1597027594
740	0.1595426261
741	0.1593817826
742	0.1592981587
743	0.1589604661
744	0.158829355
745	0.1586076714
746	0.1584495479
747	0.1583770024
748	0.1581881331
749	0.1580722942
750	0.1578219763
751	0.1575388089
752	0.1572233522
753	0.1568579056
754	0.1566441812
755	0.1562617777
756	0.1558891796
757	0.1556959775
758	0.1553306215
759	0.1551409721
760	0.1547961659
761	0.1545014848
762	0.1541631347
763	0.1539917332
764	0.153961734
765	0.1539203339
766	0.1537598567
767	0.1536651641
768	0.1535108867
769	0.153059194
770	0.1530288699
771	0.1528140759
772	0.1524955573
773	0.152300703
774	0.1519830024
775	0.151947384
776	0.1516238575
777	0.1515885972
778	0.1513432697
779	0.1513030973
780	0.1509052046
781	0.1507959652
782	0.1505408822
783	0.1504828454
784	0.1503572856
785	0.1501908215
786	0.1499669202
787	0.1497240061
788	0.1496826743
789	0.1493754843
790	0.1492207644
791	0.1490699797
792	0.148944784
793	0.1487946291
794	0.1485101497
795	0.1483142422
796	0.1479814758
797	0.1479654586
798	0.1479424379
799	0.1476626732
800	0.1476334593
801	0.1473815213
802	0.1471937649
803	0.1469979922
804	0.1468238411
805	0.1466252364
806	0.1464853325
807	0.1462765821
808	0.1461798243
809	0.1458219801
810	0.1456204407
811	0.1453209022
812	0.1452929742
813	0.1450917243
814	0.1449303726
815	0.144904606
816	0.1447152103
817	0.1444462884
818	0.14441841
819	0.1442524288
820	0.1441152056
821	0.1438802046
822	0.1438624322
823	0.1436931593
824	0.143391555
825	0.1432334756
826	0.1431155819
827	0.1430949646
828	0.1430643572
829	0.1429064007
830	0.1427498381
831	0.1425511834
832	0.1423892217
833	0.1421884303
834	0.1419940438
835	0.1418712929
836	0.1418465666
837	0.141733837
838	0.1416999662
839	0.1414934585
840	0.1413196898
841	0.14129635
842	0.1412730876
843	0.1411287399
844	0.140977804
845	0.1408224367
846	0.1407892532
847	0.1405863523
848	0.1404723373
849	0.1402579543
850	0.1400437014
851	0.1398505821
852	0.1398154566
853	0.1398068253
854	0.1397713282
855	0.1397499344
856	0.1395527379
857	0.1395166708
858	0.139498326
859	0.1393508804
860	0.1390791671
861	0.1389177093
862	0.1388108702
863	0.1386795038
864	0.1385416034
865	0.138530533
866	0.1383235996
867	0.1381532367
868	0.1380816267
869	0.1378027492
870	0.1375596091
871	0.137538084
872	0.1372999241
873	0.1371435022
874	0.137018635
875	0.1367775689
876	0.1366978021
877	0.1364961454
878	0.1362183297
879	0.1359901566
880	0.1359014153
881	0.135632915
882	0.1356239492
883	0.1355289055
884	0.1354187984
885	0.1351621627
886	0.1349822574
887	0.1348443532
888	0.134671974
889	0.1344607111
890	0.1343201185
891	0.1341043335
892	0.1339725435
893	0.133769553
894	0.1337394313
895	0.1335440443
896	0.1333223959
897	0.1331876413
898	0.1331299728
899	0.1330999583
900	0.1330693209
901	0.1327478856
902	0.1327210047
903	0.1326534466
904	0.1325967163
905	0.1323593718
906	0.1321698352
907	0.1319653583
908	0.1317307857
909	0.1317017197
910	0.1316156719
911	0.1314543693
912	0.1312421421
913	0.1310383191
914	0.1308841084
915	0.130617744
916	0.1305400041
917	0.1304831641
918	0.1302953959
919	0.1300380761
920	0.1300087189
921	0.1299798573
922	0.1297075516
923	0.1296737356
924	0.1294583306
925	0.1293676612
926	0.1291662766
927	0.1290664601
928	0.1290378332
929	0.1288374771
930	0.1286792981
931	0.1285062064
932	0.1284456524
933	0.1281785469
934	0.1281482078
935	0.1280432127
936	0.1280170959
937	0.1278123177
938	0.1275226253
939	0.1273066828
940	0.1272778582
941	0.1271293608
942	0.1269789034
943	0.1269717411
944	0.1269487998
945	0.1267862395
946	0.1266075568
947	0.1266006392
948	0.1264811481
949	0.1263921504
950	0.1261393805
951	0.1261152859
952	0.1258663111
953	0.1258428532
954	0.1256625296
955	0.1254848038
956	0.1253433066
957	0.1251789981
958	0.1251041321
959	0.1248887819
960	0.1247955294
961	0.1245746847
962	0.1243621592
963	0.1241210197
964	0.1239747727
965	0.1238124934
966	0.1237414452
967	0.1234960026
968	0.1233057829
969	0.1232548925
970	0.1230541102
971	0.123037608
972	0.1230129423
973	0.1229988192
974	0.1229278332
975	0.1228362763
976	0.1227807372
977	0.1226070201
978	0.1225829504
979	0.1223305918
980	0.1221612484
981	0.122137194
982	0.1219635686
983	0.121839033
984	0.1217074097
985	0.1215656158
986	0.1215388739
987	0.1215239485
988	0.1213754537
989	0.121302243
990	0.1212841752
991	0.1210315409
992	0.1208296
993	0.1208072255
994	0.1206570351
995	0.1206125779
996	0.120604226
997	0.1203568686
998	0.1201809998
999	0.1201597784
07
